rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
17434	23582	23375	19106	14150	35061	36051	19471	23099	37606
17435	10899	24990	30705	38312	24109	25515	26244	21145	25938
17436	14001	22175	26557	44082	13237	12950	29029	17015	3914
17437	29483	27691	23274	18742	14649	14809	26540	34389	28792
17438	14494	26706	33382	28564	22134	23014	35568	18732	12383
17439	11082	32897	28444	43405	34670	37392	23995	32318	33115
17440	31604	13336	23550	27494	7974	8192	23581	6954	35606
17441	7844	26305	34185	15180	31618	31506	34479	29920	13551
17442	10247	34822	30753	38748	37505	37604	44156	35905	32632
17443	17299	11117	34208	32833	5430	7886	44275	5262	18716
17444	31265	23678	26962	23500	29352	29266	42360	17216	8160
17445	11833	19859	28845	20740	13605	15565	37943	20087	28666
17446	9606	15211	27422	29366	12921	14095	28519	5420	44126
17447	14867	39361	27093	25551	34080	33635	39133	40591	30853
17448	10291	23424	24803	34299	29479	31428	24584	21675	42023
17449	17208	42751	32686	24829	41350	40999	39476	42804	20411
17450	9118	9347	29098	12743	17373	18041	34249	9533	34165
17451	23032	29618	30103	32955	20393	22182	38425	26736	7401
17452	11924	2207	11702	4975	896	892	11305	1461	3217
17453	15514	15510	21537	10358	14865	14691	20327	24104	18916
17454	26158	35536	19365	20430	26145	26780	18997	31162	11165
17455	18967	14883	19205	10416	30722	29807	20335	22571	25351
17456	14957	22111	29764	7538	26188	25867	36841	33585	15208
17457	17770	34954	20630	42805	40654	40315	24572	36773	40737
17458	15646	18128	28989	22222	10754	10445	32838	12597	14881
17459	10895	15437	27034	24497	17436	17344	28973	7662	8856
17460	19435	42597	32615	24446	40253	40145	38803	41741	32851
17461	15182	6889	25734	9630	5555	6667	23942	4625	17782
17462	23747	20995	31676	19652	8848	8873	43316	27365	27056
17463	17551	38039	27130	25948	34845	34847	29920	34463	16454
17464	11390	25944	29463	13558	32249	31764	35308	31277	14343
17465	16860	15310	28692	11751	13945	14620	39924	13241	2281
17466	9609	21775	29398	26070	20446	23267	33204	19241	4589
17467	6901	27905	34776	36083	31120	31787	35095	24328	25092
17468	14485	41938	28716	19563	40040	40013	33382	42336	28787
17469	9601	25652	34550	34772	13747	13605	36651	30294	17934
17470	14413	6156	26897	12494	5937	5939	34336	6179	14903
17471	24898	22240	16872	37390	30293	29530	17213	13105	44458
17472	8576	7851	28807	20407	2367	2648	37728	2866	22022
17473	6863	23580	36254	44705	24972	22755	28285	28105	14531
17474	14474	14225	27434	29513	6232	6050	25662	9128	8360
17475	10332	25154	33866	30965	23169	29357	33781	28929	23474
17476	12990	33212	34719	35790	28046	27474	40252	33933	15206
17477	15072	36245	31624	19387	30234	30165	31473	34950	24846
17478	14462	10484	28596	11503	6707	7015	32831	9997	336
17479	10325	19112	30416	35709	23746	23749	40366	11917	9624
17480	21175	22473	26561	44204	21654	21131	29303	17279	7705
17481	16155	8723	22718	1584	24323	26526	21196	24937	6525
